Longitude,Latitude
130.79233,-13.36879
130.78551,-13.3797
130.77334,-13.36699
130.79163,-13.34984
130.76157,-13.32195
130.7627,-13.32425
130.79163,-13.34984
130.79163,-13.34984
130.79417,-13.34361
130.79502,-13.33084
130.80007,-13.33892
130.8014,-13.33501
130.80628,-13.35098
130.78615,-13.39354
130.76341,-13.35497
130.78391,-13.32395
130.78108,-13.33784
130.75262,-13.34358
130.76914,-13.334
130.78615,-13.39354
133.4472,-22.80808
133.50115,-22.73173
133.49343,-22.73442
133.48652,-22.73459
133.47866,-22.7379
133.47055,-22.74265
133.46211,-22.74168
133.45285,-22.73858
133.4455,-22.73425
133.44741,-22.80851
133.43607,-22.73497
133.43152,-22.73982
133.42512,-22.74907
133.42069,-22.7563
133.41646,-22.7636
133.40933,-22.76995
133.44176,-22.80994
133.44917,-22.80763
133.44064,-22.81107
133.36723,-22.6886
133.44581,-22.8085
133.3634,-22.69059
133.34523,-22.68979
133.32756,-22.67818
133.32055,-22.67729
133.31689,-22.67046
133.30946,-22.66951
133.26213,-22.64637
133.27795,-22.65647
133.28763,-22.6675
133.44558,-22.80882
133.44419,-22.80966
133.44531,-22.80958
133.46562,-22.73381
133.46538,-22.73577
133.51581,-22.72704
133.50906,-22.7318
133.52339,-22.7265
130.84931,-14.29226
130.81121,-14.27027
130.81237,-14.25843
130.86,-14.26866
130.81745,-14.26558
130.88658,-14.30122
130.87762,-14.32674
130.88113,-14.32646
130.87174,-14.32822
130.88864,-14.34344
130.86103,-14.28317
130.88162,-14.3462
130.84252,-14.34623
130.81726,-14.26559
130.84383,-14.34504
130.8491,-14.3364
130.83896,-14.34018
130.83482,-14.28099
130.82074,-14.19613
130.81498,-14.1912
130.81048,-14.18463
130.82053,-14.22522
130.81731,-14.2104
130.83567,-14.23164
130.82325,-14.23029
130.82411,-14.22902
130.81034,-14.24262
130.80963,-14.2349
130.80817,-14.22809
130.79378,-14.22122
130.79567,-14.18444
130.79689,-14.19997
130.83567,-14.23164
130.81721,-14.21215
130.81113,-14.21272
130.82822,-14.23824
130.82422,-14.24013
130.81649,-14.24581
130.81649,-14.24591
130.83548,-14.2317
130.82322,-14.23052
130.82407,-14.22905
130.81029,-14.24283
130.80958,-14.23493
130.80839,-14.22797
130.79383,-14.22128
130.79684,-14.19989
130.83548,-14.2317
130.8338,-14.20491
130.832,-14.20536
130.82083,-14.19601
130.81483,-14.19106
130.81051,-14.18455
130.82054,-14.2252
130.81731,-14.21043
130.81723,-14.21217
130.81115,-14.21273
130.8338,-14.20491
130.82811,-14.23823
130.82422,-14.24025
130.81657,-14.24603
130.83498,-14.24483
130.84006,-14.23665
130.84586,-14.25445
130.84767,-14.25565
130.85044,-14.24215
130.85313,-14.2483
130.8282,-14.23832
130.86,-14.26857
130.83236,-14.26667
130.83522,-14.26813
130.85163,-14.26766
130.8235,-14.27861
136.21238,-22.71335
136.21238,-22.71335
136.26686,-22.64787
136.26686,-22.64787
136.27677,-22.65217
136.27677,-22.65217
136.28117,-22.65882
136.28117,-22.65882
135.97386,-22.71276
135.98568,-22.69344
135.99384,-22.70218
136.00397,-22.70708
136.01409,-22.70686
136.01263,-22.70745
136.28423,-22.66358
136.06998,-22.7226
136.06969,-22.72356
136.07254,-22.72384
136.07254,-22.72384
136.0516,-22.71152
136.06767,-22.73311
136.06378,-22.73684
136.05509,-22.74819
136.05598,-22.74994
136.03866,-22.74364
136.04015,-22.74607
136.04014,-22.73708
136.03868,-22.72589
136.02637,-22.72662
136.01931,-22.73053
136.00981,-22.73911
136.00494,-22.73799
135.99361,-22.74376
136.00267,-22.74973
136.07902,-22.75931
136.08389,-22.74913
136.07756,-22.74105
135.98304,-22.72143
135.96965,-22.7177
135.97204,-22.69912
135.98622,-22.68977
136.00403,-22.7027
135.99409,-22.71732
136.08062,-22.78234
136.0703,-22.78186
136.06733,-22.78305
136.05848,-22.77276
136.04212,-22.78159
136.00263,-22.77357
136.00397,-22.77628
136.02668,-22.79002
136.0253,-22.78838
135.98333,-22.73038
135.98805,-22.71642
136.2418,-22.81739
136.2418,-22.81739
135.94572,-22.62553
135.93872,-22.66886
135.9445,-22.6838
135.94122,-22.70065
135.95913,-22.68985
135.9658,-22.68382
135.96361,-22.68341
135.9815,-22.66773
135.98009,-22.66605
135.99373,-22.66593
135.99329,-22.66736
135.99899,-22.6694
136.00524,-22.68092
135.98982,-22.65506
135.98811,-22.65449
136.01078,-22.74681
136.0186,-22.75705
136.0257,-22.75148
136.0242,-22.77798
136.05489,-22.764
136.15093,-22.68898
136.15018,-22.70106
136.28423,-22.66358
136.28874,-22.66593
136.28874,-22.66593
136.29942,-22.67103
136.29942,-22.67103
136.31333,-22.67019
136.31333,-22.67019
136.32661,-22.67468
136.32661,-22.67468
135.97951,-22.6471
136.00522,-22.64398
136.00766,-22.63175
136.0278,-22.6294
136.02577,-22.63063
136.02225,-22.6423
136.02512,-22.64956
136.02451,-22.65008
136.13684,-22.71588
136.13337,-22.71794
136.13794,-22.71881
136.16084,-22.72275
136.15882,-22.73019
136.15896,-22.73826
136.15521,-22.74829
136.13868,-22.73215
136.13322,-22.73905
136.1297,-22.74035
136.14795,-22.63937
136.12674,-22.61737
136.12774,-22.61555
136.13496,-22.62655
136.11279,-22.65546
136.11254,-22.65286
136.10545,-22.65063
136.11047,-22.65941
136.10305,-22.66507
136.03,-22.6546
136.03559,-22.6624
136.03714,-22.67443
136.049,-22.67166
136.06105,-22.66871
136.05874,-22.6583
136.07717,-22.66498
136.07687,-22.66643
136.0786,-22.64485
136.07718,-22.64476
136.07849,-22.64731
136.08953,-22.64474
136.09805,-22.65154
136.09031,-22.6518
136.09026,-22.65343
135.92603,-22.63143
135.92583,-22.63275
135.93855,-22.64037
136.34038,-22.67645
136.34038,-22.67645
136.35742,-22.6764
136.35742,-22.6764
136.37085,-22.67465
136.37085,-22.67465
136.38406,-22.66753
136.38406,-22.66753
136.06896,-22.79305
136.06896,-22.79305
136.07149,-22.79173
136.07149,-22.79173
136.08126,-22.78356
136.08126,-22.78356
136.09634,-22.78437
136.09634,-22.78437
136.10061,-22.78222
136.0944,-22.66955
136.09356,-22.66892
136.08395,-22.67909
136.08296,-22.67697
136.07733,-22.70135
136.07472,-22.70643
136.07155,-22.71208
136.10061,-22.78222
136.1072,-22.79307
136.1072,-22.79307
136.11427,-22.79057
136.11427,-22.79057
136.1189,-22.78977
136.1189,-22.78977
136.12851,-22.77735
136.12851,-22.77735
135.93564,-22.64015
135.92756,-22.66056
135.91967,-22.6911
135.94328,-22.63121
135.95349,-22.64141
135.95146,-22.64282
135.95962,-22.64738
135.94615,-22.65448
136.0635,-22.71726
136.05727,-22.72019
136.05451,-22.71538
136.05426,-22.7174
136.0811,-22.72172
136.0796,-22.71977
136.07907,-22.71992
136.07827,-22.73333
136.06171,-22.75037
136.06021,-22.75235
136.04794,-22.74537
136.0382,-22.74894
136.04447,-22.73567
136.04622,-22.73706
136.02674,-22.72323
136.02406,-22.72228
136.01361,-22.73391
136.00615,-22.72973
136.00039,-22.73616
136.1364,-22.75338
136.1364,-22.75338
136.14324,-22.76592
136.14324,-22.76592
136.15872,-22.74826
136.15872,-22.74826
136.16209,-22.73277
136.16209,-22.73277
136.16498,-22.72511
136.16498,-22.72511
136.16682,-22.72544
136.16682,-22.72544
136.22939,-22.77518
136.22939,-22.77518
136.22831,-22.77993
136.22831,-22.77993
136.19464,-22.75478
135.94488,-22.65597
135.95321,-22.66831
135.98201,-22.62399
135.98142,-22.62952
135.97484,-22.63762
135.98604,-22.638
135.98443,-22.63802
135.99858,-22.64093
136.01651,-22.66188
136.0151,-22.6605
